age	len
3	40
3	42
3	45
5	52
4	52
3	42
5	53
4	48
5	52
6	57
3	42
3	42
3	40
3	39
6	51
1	16
1	14
1	16
1	14
1	14
1	15
1	16
1	15
4	50
5	51
5	51
5	53
7	53
3	44
5	54
3	46
5	50
1	17
1	16
5	53
5	56
5	54
3	44
4	51
4	51
3	44
5	46
7	57
2	27
5	51
5	49
4	48
5	52
5	49
4	49
4	55
4	47
5	55
5	50
5	52
5	58
5	58
5	52
2	27
2	24
4	46
5	54
2	28
3	36
5	56
5	56
5	44
6	55
7	69
3	35
3	38
2	26
5	53
2	24
2	26
3	31
4	42
3	36
2	24
2	25
2	27
2	27
3	38
2	24
2	25
2	27
2	29
2	28
2	29
3	34
3	34
3	36
5	52
5	59
5	51
5	53
4	52
5	56
5	61
4	48
5	61
5	61
5	50
5	49
5	53
2	33
5	53
5	49
5	54
5	44
5	52
5	43
5	46
5	51
5	52
5	53
5	50
5	52
5	49
4	44
5	56
5	54
4	44
5	52
5	54
5	57
3	35
3	36
5	55
5	54
5	61
5	48
5	59
5	61
1	13
1	13
1	15
1	11
1	15
1	12
2	24
2	25
4	44
3	37
2	27
2	22
5	48
2	24
2	24
5	54
4	34
2	24
3	35
4	42
3	32
2	26
3	36
5	55
3	33
5	54
5	50
3	49
5	49
5	50
5	53
5	51
5	54
5	54
1	12
1	12
2	25
2	27
3	36
5	53
5	57
5	51
2	29
5	55
4	51
3	39
5	53
5	56
2	31
2	27
5	55
5	49
5	50
3	34
5	50
5	48
5	50
5	47
5	58
5	49
5	45
5	59
5	53
5	43
3	36
3	35
5	52
3	39
5	50
4	44
5	55
3	37
5	53
5	53
5	59
5	58
5	52
5	61
4	42
5	47
3	38
5	50
5	50
5	45
1	14
4	45
4	48
3	37
5	52
3	39
3	37
5	50
4	45
4	39
5	44
5	49
4	40
3	37
5	54
5	49
5	57
7	72
5	58
5	51
5	49
5	49
4	45
5	48
7	67
5	45
5	47
5	48
5	57
5	57
5	50
5	53
5	46
4	45
5	53
4	49
4	44
5	50
4	46
4	44
5	56
5	56
5	55
7	68
2	28
3	35
2	31
2	28
2	29
4	44
4	46
5	52
1	13
2	28
2	30
3	41
5	49
5	51
5	52
5	58
5	52
4	43
5	53
5	53
8	68
5	59
5	58
4	48
5	52
5	55
5	59
5	60
5	56
5	54
5	55
5	52
4	45
5	56
5	57
5	53
5	54
4	47
1	12
1	14
3	40
4	47
2	27
5	48
4	39
5	54
4	45
2	29
2	27
2	30
2	23
2	32
3	35
4	43
2	27
2	26
2	29
5	48
4	41
2	29
3	35
2	27
3	35
2	26
3	37
3	35
7	53
1	15
1	15
5	56
5	41
5	53
5	52
5	53
5	50
5	50
5	56
5	45
6	55
5	45
5	57
5	52
4	43
8	67
5	46
5	45
5	49
2	28
5	49
2	26
2	26
5	51
5	55
5	49
5	51
5	49
5	48
7	70
5	49
4	40
5	51
5	49
5	47
5	51
5	51
5	53
5	53
5	49
5	49
5	59
5	48
4	48
5	49
5	50
5	48
5	53
5	48
5	50
5	50
1	14
1	15
1	16
2	26
2	27
5	56
5	53
5	47
5	64
5	59
9	81
2	26
2	25
2	23
2	26
2	24
2	24
2	32
2	26
2	27
2	25
2	27
2	32
2	28
2	25
2	22
2	27
3	42
2	29
2	26
2	33
3	41
2	25
2	29
4	47
4	53
4	48
5	59
5	51
6	55
5	62
5	59
3	43
5	53
4	46
4	49
5	58
3	41
4	50
3	40
4	45
5	51
7	55
13	61
7	74
2	30
8	74
2	31
5	51
4	51
4	42
12	66
13	73
4	44
4	44
3	39
3	41
1	12
4	51
4	50
5	57
4	49
5	57
4	51
2	25
2	30
2	26
3	31
5	49
5	50
6	64
5	52
8	60
2	23
2	26
2	28
2	26
2	29
5	55
7	59
2	26
4	51
2	29
2	28
4	48
2	27
2	26
9	66
8	72
2	24
5	57
2	24
2	27
5	61
2	29
8	70
5	50
5	59
5	56
5	60
8	65
6	59
5	58
5	59
9	76
2	25
2	26
2	27
2	27
2	24
2	25
2	24
2	28
2	26
2	27
2	25
2	27
2	23
2	26
2	25
2	25
2	27
5	51
7	61
5	55
2	25
3	40
3	40
5	52
5	55
2	23
2	27
4	45
2	26
5	56
6	59
7	69
7	58
5	58
5	58
4	51
7	61
7	58
2	26
4	53
4	45
5	57
5	64
5	55
2	27
6	53
9	78
1	14
2	29
2	29
2	27
2	27
4	41
4	45
2	28
2	27
2	26
2	30
2	27
2	26
2	29
2	30
2	33
2	27
5	45
2	28
2	34
3	44
5	50
4	46
1	14
2	25
2	28
4	47
2	26
2	28
2	27
2	25
3	38
2	26
2	27
4	47
1	13
1	13
2	27
2	29
2	27
2	28
2	23
2	27
2	27
2	28
2	31
2	25
2	26
2	23
2	24
2	22
2	25
2	24
2	28
2	27
2	25
2	25
2	30
2	27
5	60
2	23
2	28
2	24
2	25
2	26
2	24
2	24
2	25
2	26
2	30
2	31
2	24
2	25
2	24
2	24
2	22
2	26
2	24
2	24
2	25
2	30
2	27
2	26
2	21
2	24
2	24
2	28
2	20
3	38
2	28
3	39
4	42
2	20
2	25
4	48
5	60
2	27
2	27
4	51
7	58
13	72
5	48
4	46
5	58
4	45
4	54
4	47
4	47
4	42
5	56
5	51
8	56
4	44
4	45
6	52
9	72
2	28
2	26
2	31
2	27
2	31
4	48
4	42
4	45
2	24
3	40
6	58
1	17
1	16
2	31
5	51
4	47
3	44
4	44
5	56
4	49
6	60
4	49
2	30
4	49
1	14
1	16
5	53
4	47
4	46
4	48
1	15
6	55
5	46
7	55
5	55
6	62
7	63
6	62
13	73
9	66
5	51
2	30
4	45
4	46
8	67
5	51
7	55
1	13
1	12
1	17
1	13
1	17
5	48
7	56
7	60
7	61
11	51
9	65
7	62
5	49
6	61
6	49
4	45
2	27
2	27
2	29
2	26
3	42
2	31
2	28
5	55
5	45
1	12
1	13
7	63
7	56
4	53
6	56
4	48
3	44
3	41
3	40
4	46
5	50
5	53
3	44
3	37
3	41
2	29
3	42
3	42
4	55
3	41
4	48
3	42
3	40
3	42
2	18
1	15
1	17
1	17
1	16
5	51
5	55
5	56
5	52
5	54
